iteration,accuracy_training,acc_validation,model_architecture,batch_size,nb_epoch,lr,dropout,eval_time
14,0.9964,0.9914,"{'mlp_3_nb_filters_or_neurons_0': 256, 'mlp_3_nb_filters_or_neurons_1': 256, 'mlp_3_nb_filters_or_neurons_2': 256, 'nber_layers': 3}",64,300,0.0022550443634273996,0.02538554159461957,42 1366.873
15,0.9945,0.9918,"{'mlp_4_nb_filters_or_neurons_0': 512, 'mlp_4_nb_filters_or_neurons_1': 512, 'mlp_4_nb_filters_or_neurons_2': 512, 'mlp_4_nb_filters_or_neurons_3': 512, 'nber_layers': 4}",64,300,0.0015106485729038947,0.020434886827241337,42 1558.742
16,0.9948,0.9908,"{'mlp_2_nb_filters_or_neurons_0': 512, 'mlp_2_nb_filters_or_neurons_1': 256, 'nber_layers': 2}",128,300,0.006280319944354619,0.04545866393914219,42 710.742
17,0.9925,0.989,"{'mlp_3_nb_filters_or_neurons_0': 256, 'mlp_3_nb_filters_or_neurons_1': 512, 'mlp_3_nb_filters_or_neurons_2': 512, 'nber_layers': 3}",128,300,0.004635973615107744,0.04569364442403234,42 794.637
18,0.9745241207792622,0.9673511031756153,"{'mlp_4_nb_filters_or_neurons_0': 256, 'mlp_4_nb_filters_or_neurons_1': 512, 'mlp_4_nb_filters_or_neurons_2': 256, 'mlp_4_nb_filters_or_neurons_3': 512, 'nber_layers': 4}",64,300,0.005451479003589278,0.018624061172607113,42 1568.993
19,0.9968,0.9936,"{'mlp_5_nb_filters_or_neurons_0': 256, 'mlp_5_nb_filters_or_neurons_1': 256, 'mlp_5_nb_filters_or_neurons_2': 512, 'mlp_5_nb_filters_or_neurons_3': 256, 'mlp_5_nb_filters_or_neurons_4': 512, 'nber_layers': 5}",64,300,0.0007203360960598913,0.04827998734152608,42 1743.877
20,0.9973,0.9945,"{'mlp_4_nb_filters_or_neurons_0': 512, 'mlp_4_nb_filters_or_neurons_1': 512, 'mlp_4_nb_filters_or_neurons_2': 512, 'mlp_4_nb_filters_or_neurons_3': 256, 'nber_layers': 4}",64,300,0.0002878564648502132,0.027164220190080746,42 1649.32
21,0.9771067818767337,0.9716872847851039,"{'mlp_5_nb_filters_or_neurons_0': 512, 'mlp_5_nb_filters_or_neurons_1': 512, 'mlp_5_nb_filters_or_neurons_2': 512, 'mlp_5_nb_filters_or_neurons_3': 512, 'mlp_5_nb_filters_or_neurons_4': 256, 'nber_layers': 5}",64,300,0.0036884285257152375,0.02544243906550062,42 1794.677
22,0.9976,0.9946,"{'mlp_5_nb_filters_or_neurons_0': 512, 'mlp_5_nb_filters_or_neurons_1': 512, 'mlp_5_nb_filters_or_neurons_2': 256, 'mlp_5_nb_filters_or_neurons_3': 512, 'mlp_5_nb_filters_or_neurons_4': 256, 'nber_layers': 5}",64,300,0.0004637430392296826,0.02646381277993022,42 1786.21
23,0.9971,0.9941,"{'mlp_5_nb_filters_or_neurons_0': 512, 'mlp_5_nb_filters_or_neurons_1': 512, 'mlp_5_nb_filters_or_neurons_2': 256, 'mlp_5_nb_filters_or_neurons_3': 512, 'mlp_5_nb_filters_or_neurons_4': 256, 'nber_layers': 5}",64,300,0.00014124833675490422,0.03036524732710428,42 1815.636
24,0.9261869081401651,0.9225864047953067,"{'mlp_4_nb_filters_or_neurons_0': 512, 'mlp_4_nb_filters_or_neurons_1': 256, 'mlp_4_nb_filters_or_neurons_2': 512, 'mlp_4_nb_filters_or_neurons_3': 256, 'nber_layers': 4}",64,300,0.009659947581435405,0.02799766109767885,42 1715.652
